Institute Code,College Name,Region,Region Type,College Address,Email Address,Website,Registrar Name,Principal Name,Office Phone,Fax No,Status,Autonomy Status,Minority status
1002,"Government College of Engineering, Amravati",Amravati,Urban,"VMV Road, Near Kathora Naka,  Amravati",principal@gcoea.ac.in,www.gcoea.ac.in,P. P. Bhatkar,Dr. R. S. Dalu,2531929,2531931,Government,Autonomous,Non-Minority
1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,Urban,"SGB Amravati University, Near Tapowan, Amravati",reg@sgbau.ac.in,www.sgbau.ac.in,Tushar Deshmukh,Tushar Deshmukh,2662173,,University Department,Non-Autonomous,Non-Minority
1006,"Government Polytechnic, Murtijapur",Amravati,Rural,"National Highway No.6,Hendaj, Amravati Road, Murtizapur Akola ",principalgpmzr@rediffmail.com,www.gpmzr.ac.in,Vijaya Sadar,Dr. A. A. GULHANE,207876,,Government,Non-Autonomous,Non-Minority
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",Amravati,Urban,"Shivaji Nagar, Amravati",principaldrpdpoly@rediff.com,www.drpdpolyamt.org,SARANG  S. PATIL,Shri N.D.Dudhe,2660824,2660824,Government-Aided,Non-Autonomous,Non-Minority
1008,"Government Polytechnic, Amravati",Amravati,Urban,"Gadge Nagar, Post-Shivaji Nagar,V. M. V. Road, Amravati ",principal.gpamravati@dtemaharashtra.gov.in,www.gpamravati.ac.in,Abhijeet Udawant,DR. R. P. MOGARE,2660127,2660127,Government,Autonomous,Non-Minority
1009,"Government Polytechnic, Khamgaon",Amravati,Rural,"Jalamb Road, Khamgaon Dist. Buldhana",office.gpkhamgaon@gmail.com,www.gpk.edu.in,MR.V.M.BORATKAR,Dr. S.S.Prabhune,256644,252278,Government,Non-Autonomous,Non-Minority
1010,"Government Polytechnic, Washim",Amravati,Rural,"Resod Road,Washim",office.gpwashim@dtemaharashtra.gov.in,www.gpwashim.edu.in,Mr. G.V. Dongare (Incharge),Dr. Vijay Rangraoji Mankar,232252,232252,Government,Non-Autonomous,Non-Minority
1015,"Government Polytechnic , Achalpur",Amravati,Urban,"Nehru Maidan, Achalapur Camp Amravati",principal.gpachalpur@dtemaharashtra.gov.in,www.gpach.org.in,A.N. BHARSAKALE,Shri. P.M. Bhansali,221373,,Government,Non-Autonomous,Non-Minority
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati,Rural,"S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",principal@ssgmce.ac.in,www.ssgmce.org,PROF. A.V. PATIL,Dr. S. B. Somani,8669638081,252346,Un-Aided,Non-Autonomous,Non-Minority
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Urban,"Anjangaon Bari Road, Badnera,  Amravati",principal@mitra.ac.in,www.mitra.ac.in,Mr. R. V. Adwanikar,Dr. A. P. Bodkhe,2681246,2681337,Un-Aided,Non-Autonomous,Non-Minority
1107,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati,Rural,"Shri Gajanan Township ,Pote Estate, Kathora Road, Amravati",prpotepatilcollege@gmail.com,www.prpcem.org,KISHOR DESHMUKH,Dr. Mohammad Zuhair,2970435,2530341,Un-Aided,Non-Autonomous,Non-Minority
1108,"P.R. Patil College of Engineering & Technology, Amravati",Amravati,Rural,"Gajanan Township Campus, (Post Estate), Kathore Road, Amravati",director_prpce@rediffmail.com,www.prpcet.org,Mohd. Zuhair,Dr. D.G. Wakde,2530344,2530341,Un-Aided,Non-Autonomous,Non-Minority
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Urban,"Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",sipnaoffice@gmail.com,www.sipnaengg.ac.in,Shyamsundar Bhojraj Gupta,Dr. Sanjay M. Kherde,2522342,2522341,Un-Aided,Non-Autonomous,Non-Minority
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati,Rural,"Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",principalcoeta@gmail.com,www.coeta.ac.in,Mr. N. B. Gawande,Prof. Dr. S.K.Deshmukh,2259069,2259024,Un-Aided,Non-Autonomous,Non-Minority
1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Amravati,Rural,"Kalra Road, Pusad  Dist Yavatmal ",principal@bncoepusad.ac.in,www.bncoepusad.ac.in,---,Dr.Avinash Wankhade,245229,246316,Un-Aided,Non-Autonomous,Non-Minority
